2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 06:39:31 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:33 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BTC/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:39:52 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:40:57 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: ON/USDT InstitutionalBreakout R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:41:17 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:41:34 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=17.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:41:49 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1040 | 🚨 PUMP/DUMP PUMP: IN/USDT price=+12.7% volume=+219% risk=HIGH no_trade=True news_correlated=False
2026-04-15 06:41:49 | WARNING  | core.engine                         | engine.py:2865 | 🚫 IN/USDT suppressed by pump/dump guard | PUMP risk=HIGH price=+12.7% volume=+219%
2026-04-15 06:42:21 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble RIVER/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:43:00 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BTC/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:43:01 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:43:14 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:43:32 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AIOT/USDT PriceAction R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:44:25 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: ON/USDT InstitutionalBreakout R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:44:49 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:45:05 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=17.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:45:21 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT InstitutionalBreakout R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:45:52 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble RIVER/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:46:31 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
