2026-04-19 15:45:11 | WARNING  | signals.stablecoin_depeg            | stablecoin_depeg.py:183 | 💵 Stablecoin USDT: INIT → HEALTHY | price=1.0010 
2026-04-19 16:00:25 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble KERNEL/USDT SUPPRESS: score=-4.4 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 16:00:53 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: SKYAI/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:00:56 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GUA/USDT PriceAction R/R=11.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:00:57 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble PENGU/USDT SUPPRESS: score=0.2 sup=2 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 16:02:22 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:02:27 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=6.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:02:54 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BIO/USDT PriceAction R/R=6.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:02:54 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MOVE/USDT SmartMoneyConcepts R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:02:56 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ENA/USDT PriceAction R/R=10.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:03:27 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GWEI/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:03:27 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PROM/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:03:53 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1053 | 🚨 PUMP/DUMP PUMP: 币安人生/USDT price=+4.3% volume=+178% risk=MEDIUM no_trade=False news_correlated=False
2026-04-19 16:03:58 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 币安人生/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:03:58 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: AAVE/USDT PriceAction R/R=9.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:04:18 | WARNING  | core.engine                         | engine.py:3376 |    ⚠️  RAVE/USDT: adjust_levels produced absurd TP1=-5.8403 for entry=1.4322 — keeping original levels
2026-04-19 16:04:25 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: SOON/USDT PriceAction R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:04:26 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BLESS/USDT PriceAction R/R=11.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:05:40 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GUA/USDT PriceAction R/R=8.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:06:02 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: NEIRO/USDT PriceAction R/R=16.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:06:05 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: FARTCOIN/USDT PriceAction R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:06:09 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GRIFFAIN/USDT SmartMoneyConcepts R/R=9.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:06:38 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1053 | 🚨 PUMP/DUMP PUMP: BOME/USDT price=+46.6% volume=+1071% risk=VERY_HIGH no_trade=True news_correlated=False
2026-04-19 16:06:38 | WARNING  | core.engine                         | engine.py:2936 | 🚫 BOME/USDT suppressed by pump/dump guard | PUMP risk=VERY_HIGH price=+46.6% volume=+1071%
2026-04-19 16:07:12 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:07:13 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: API3/USDT PriceAction R/R=14.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:07:15 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=6.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:07:38 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PIEVERSE/USDT PriceAction R/R=8.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:07:40 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BIO/USDT PriceAction R/R=12.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:07:41 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MOVE/USDT SmartMoneyConcepts R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:08:17 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GWEI/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:08:18 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PROM/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:08:43 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1053 | 🚨 PUMP/DUMP PUMP: 币安人生/USDT price=+4.3% volume=+178% risk=MEDIUM no_trade=False news_correlated=False
2026-04-19 16:08:43 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 币安人生/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:08:44 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: AAVE/USDT ElliottWave R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:09:17 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble NOM/USDT SUPPRESS: score=-3.4 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 16:09:24 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BLESS/USDT PriceAction R/R=11.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:09:39 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MON/USDT PriceAction R/R=9.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:09:49 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MLN/USDT PriceAction R/R=15.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:10:29 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: SKYAI/USDT PriceAction R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:10:50 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GUA/USDT PriceAction R/R=8.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:11:18 | WARNING  | analyzers.news_scraper              | news_scraper.py:1284 | 📰🔴 NEWS STORM MODERATE: 3/9 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
